candidate_id,activity_id_a,activity_id_b,candidate_reasons,candidate_confidence,review_status,merge_applied
cand-96574c68f0eacf5c,tpa-28f8c72d6b0e22,tpa-8562549d167076,exact_normalized_address,low,pending_human_review,no
cand-3e7653697d134faf,tpa-28f8c72d6b0e22,tpa-8dfd99cc25e194,exact_normalized_address,low,pending_human_review,no
cand-566165d001223260,tpa-28f8c72d6b0e22,tpa-e480f8b52b8eaf,exact_normalized_address,low,pending_human_review,no
cand-a9d0ad52a6d94a73,tpa-29d52b9c52c469,tpa-a357330cddd2cf,exact_normalized_address,low,pending_human_review,no
cand-6a3b615183c8f231,tpa-2a0e40d30e572b,tpa-5207e46335d4e6,exact_normalized_address,low,pending_human_review,no
cand-9d27694a27a16e84,tpa-2a3ba1216e4012,tpa-666f8de1632994,shared_city_building_folio,low,pending_human_review,no
cand-1447c343a0b87c60,tpa-2b81d71a85491d,tpa-6aa946c81585df,shared_city_building_folio,low,pending_human_review,no
cand-c07c804d0d55d4bd,tpa-2db7fb2eea1516,tpa-3a19cc9655f43c,exact_normalized_address,low,pending_human_review,no
cand-b119e8f34165af58,tpa-2dcd3ff53ea2fd,tpa-2fc0a2704be03b,exact_normalized_address,low,pending_human_review,no
cand-879966d2a4e5f722,tpa-2e1a9e4f257d5d,tpa-d6e89e46297673,exact_normalized_address,low,pending_human_review,no
cand-fe2d1dcc86cb74e1,tpa-2eb5e7452bcb99,tpa-ae1d2e3d8ddb67,exact_normalized_address,low,pending_human_review,no
cand-c6790024566a0a35,tpa-2fa48cd756d9a2,tpa-f7acd9ea88a07c,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-a55aaa44238b4722,tpa-30b412a70a928f,tpa-95b4bc533ab4fe,shared_city_building_folio,low,pending_human_review,no
cand-563c76b072c3d27e,tpa-30b412a70a928f,tpa-cd0d5eb06fa587,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-eae47cdfc6440818,tpa-316227fb332caf,tpa-f99894e5d0eede,exact_normalized_address,low,pending_human_review,no
cand-7a3e08ba12dd3061,tpa-31b76d0357991d,tpa-a8810aa5e75dbe,exact_normalized_address,low,pending_human_review,no
cand-552cb2c8c2f1430a,tpa-31c25730cd0704,tpa-657ece167efe9a,exact_normalized_address,low,pending_human_review,no
cand-c9cc874a5f4b9242,tpa-31c25730cd0704,tpa-cee84f4fe6a0c7,exact_normalized_address,low,pending_human_review,no
cand-983be4e3448ef778,tpa-3212f3cc3b2855,tpa-35b9b97f3d7227,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-b36205848721f137,tpa-3212f3cc3b2855,tpa-753135ef983deb,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
