source_memberships,source_record_id,activity_stage,status,latitude,longitude,source_endpoint,retrieved_at_utc,project_name,description,activity_class,record_type,address,unit,zip,neighborhood,cra,council_district,status_date,planned_start_date,planned_end_date,last_updated,new_construction_sqft,housing_units,estimated_cost_usd,actual_cost_usd,funding_source,is_public,physical_development_candidate,source_url,activity_id,record_created_date,application_or_opened_date,raw_component_rows,location_count,matched_folios,matched_building_count,matched_year_built_min,matched_year_built_max,parcel_match_confidence,realization_evidence_grade,likely_realized,realization_basis
construction_inspections;single_family_permits,BLD-26-0521426,permit_or_funding_approved,Issued,27.99882,-82.418121,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,FEMA: New SFR,New Single Family Residence with attached garage,building_construction,Residential New Construction and Additions (1 and 2 Family),3701 E Powhatan Ave,,33610,Live Oaks Square,,5,2026-05-01,,,2026-05-01,2202,1,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZPR&agencyCode=TAMPA,tpa-a5f7f3c93d3ab7,2025-12-23,2025-12-23,2,1,,,,,,U,,insufficient_completion_evidence
construction_inspections;single_family_permits,BLD-26-0521428,permit_or_funding_approved,Issued,27.9989522,-82.4182095,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,FEMA New SFR,New Single Family Residence with attach garage,building_construction,Residential New Construction and Additions (1 and 2 Family),3703 E Powhatan Ave,,33610,Live Oaks Square,,5,2026-04-28,,,2026-04-28,2202,1,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZPV&agencyCode=TAMPA,tpa-0b44c2121ce34b,2025-12-23,2025-12-23,2,1,,,,,,U,,insufficient_completion_evidence
construction_inspections;single_family_permits,BLD-26-0521429,permit_or_funding_approved,Issued,27.9989523,-82.4181697,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,FEMA New SFR,New Single Family Residence attach garage,building_construction,Residential New Construction and Additions (1 and 2 Family),3705 E Powhatan Ave,,33610,Live Oaks Square,,5,2026-04-29,,,2026-04-29,2202,1,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZPZ&agencyCode=TAMPA,tpa-68365bfff88315,2025-12-23,2025-12-23,2,1,,,,,,U,,insufficient_completion_evidence
construction_inspections;single_family_permits,BLD-26-0521436,permit_or_funding_approved,Issued,27.923139,-82.5082155,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,"New 2-story SFR-> Attached garage, rear lanai, rear cabana, front porch, Covered balcony, 5 bed, 5 bath","New 2 story SFR- Attached garage, rear lanai, rear cabana, front porch, Covered balcony, 5 bed, 5 bath",building_construction,Residential New Construction and Additions (1 and 2 Family),2413 S Church Ave,,33629,Palma Ceia West,,6,2026-03-31,,,2026-03-31,6198,1,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZR8&agencyCode=TAMPA,tpa-3cf4dfd38f377f,2025-12-23,2025-12-23,2,1,119948.0000,1,1951,1951,medium,U,,insufficient_completion_evidence
construction_inspections,BLD-26-0521441,permit_or_funding_approved,Issued,27.939636,-82.4524155,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,FEMA: PP: Bathroom remodel,*FEMA SFHA: LIMITED PRIVATE PROVIDER – PLAN REVIEW AND INSPECTIONS. CITY OF TAMPA WILL TAKE LEAD ON REVIEWS FOR ALL ITEMS UP TO THE REQUIRED DFE AND INSPECTIONS UP TO REQUIRED DFE AND UNTIL SUCH TIME APPROVAL FOR REQUIRED UNDER-CONSTRUCTION ELEVATION CERTIFICATE IS OBTAINED.PRIVATE PROVIDER -CITY OF,building_construction,Commercial Building Alterations (Renovations),371 Channelside Walk Way,301,33602,Harbour Island,Downtown Core,4,2026-07-07,,,2026-07-07,0,0,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZRY&agencyCode=TAMPA,tpa-67bdab2bebbf6e,2025-12-23,,1,1,,,,,,U,,insufficient_completion_evidence
construction_inspections,BLD-26-0521443,preconstruction_or_unknown,Revision,27.912744,-82.522836,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,FEMA:Interior/exterior ALT,"Interior/exterior renovation. Includes removing exterior doors, new non-bearing interior wall layout for kitchen, walk-in pantry, master bedroom and bathroom. Mechanical, electrical and plumbing; drywall, cabinets and flooring though-out.",building_construction,Residential Building Alterations (Renovations),3328 S Shamrock Rd,,33629,Belmar Gardens,,4,2026-02-20,,,2026-02-20,0,0,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZSA&agencyCode=TAMPA,tpa-3c251681b3469a,2025-12-24,,1,1,,,,,,U,,insufficient_completion_evidence
construction_inspections,BLD-26-0521449,preconstruction_or_unknown,Revision,27.954027,-82.501812,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,SEC: Buildout: 15th FL Suite 1500: Deloitte,THRESHOLD BUILDING Build Out Interior renovation of Suite 1500,building_construction,Commercial Building Alterations (Renovations),3600 Midtown Dr,,33607,Midtown Tampa,,6,2026-05-26,,,2026-05-26,0,0,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZSX&agencyCode=TAMPA,tpa-09b5120d1d7c24,2025-12-24,,1,1,,,,,,U,,insufficient_completion_evidence
construction_inspections;single_family_permits,BLD-26-0521452,permit_or_funding_approved,Issued,27.861453,-82.5275475,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,FEMA: NEW 2 STORY SFR,New two story single family home construction,building_construction,Residential New Construction and Additions (1 and 2 Family),7212 S Mascotte St,,33616,"Port Tampa City, Inc. Civic Association",,4,2026-02-26,,,2026-02-26,3675,1,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZT6&agencyCode=TAMPA,tpa-bad21aa77dca3b,2025-12-24,2025-12-24,2,1,,,,,,U,,insufficient_completion_evidence
construction_inspections;single_family_permits,BLD-26-0521453,permit_or_funding_approved,Issued,27.861354,-82.5275475,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,FEMA - New 2-Story SFR,New two story single family home construction,building_construction,Residential New Construction and Additions (1 and 2 Family),7216 S Mascotte St,,33616,"Port Tampa City, Inc. Civic Association",,4,2026-02-26,,,2026-02-26,3632,1,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZT9&agencyCode=TAMPA,tpa-8971084acb75a6,2025-12-24,2025-12-24,2,1,138776.0000,1,,,medium,U,,insufficient_completion_evidence
construction_inspections,BLD-26-0521454,preconstruction_or_unknown,Revision,27.946224,-82.4511015,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,PP:SITE/FDN:Site and Foundation ONLY,"THRESHOLD BUILDING *PRIVATE PROVIDER – INSPECTIONS ONLY* Site & Foundation Application for BLD Site and Foundation only. WST Phase 3A Block 1, proposed 10-story parking garage with +/-24,000 SF of commercial use at grade level, +/-8,500 SF of commercial use at roof level, and surrounding stree",building_construction,Commercial New Construction and Additions,200 S Nebraska Ave,,33602,Tampa Downtown Partnership,Downtown Core,5,2026-07-03,,,2026-07-03,32500,7,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02ZTL&agencyCode=TAMPA,tpa-24f96e9654b9ef,2025-12-24,,1,1,,,,,,U,,insufficient_completion_evidence
