folio,pin,site_address,site_address_normalized,site_city,site_zip,parcel_type,land_use_code,year_built,remodel_year,building_area_sqft,parcel_area_acres,market_value_usd,building_value_usd,sale_date,sale_amount_usd,vacant_or_improved,stories,source_object_id,source_url,snapshot_date,observed_at_utc,geometry_geojson
136939.0000,A-15-30-18-41R-000000-00021.0,3014 N Adams St,3014 N ADAMS ST,Tampa,33611,,0100,1950,2002,1027,0.16,231346,93346,2023-08-31,246300,I,1,445547,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.49239353693063,27.87035889802894],[-82.49221637321793,27.870360247851043],[-82.49216301766077,27.870360653941216],[-82.4921654588195,27.87061368201307],[-82.49239597860843,27.870611922480293],[-82.49239353693063,27.87035889802894]]]}"
136971.0000,A-16-30-18-ZZZ-000005-55050.0,4120 W Mango Ave,4120 W MANGO AVE,Tampa,33616,,8900,1976,1997,16704,39.01,2914112,1261805,,0,,4,445873,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.51496981246319,27.875487686305043],[-82.51458627724229,27.87563349763858],[-82.51455491684953,27.879083260473127],[-82.51473981150568,27.87915647744664],[-82.5184982640871,27.879169863594022],[-82.5185394274705,27.87549088454719],[-82.51496981246319,27.875487686305043]]]}"
137131.0000,A-16-30-18-41S-000006-00032.0,4109 W Marietta St,4109 W MARIETTA ST,Tampa,33616,,0100,1958,2005,1128,0.14,295336,189712,2020-12-08,259900,I,1,446018,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.51353065541119,27.877059790946575],[-82.51352937901487,27.877347066782743],[-82.51371476759125,27.877348163944195],[-82.51371728079276,27.87706096562347],[-82.51353065541119,27.877059790946575]]]}"
137158.0000,A-16-30-18-41S-000008-00011.0,6238 S Grady Ave,6238 S GRADY AVE,Tampa,33616,,0100,1958,1992,1128,0.15,184151,84691,2004-03-22,104700,I,1,446042,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.51069063920673,27.876352801348947],[-82.51037875194834,27.876352939018084],[-82.5103762509308,27.87651245514646],[-82.51037594086573,27.876532535091545],[-82.51068883023429,27.87653462178227],[-82.51069063920673,27.876352801348947]]]}"
137704.0000,A-16-30-18-424-000000-00043.0,3710 W Elrod Ave,3710 W ELROD AVE,Tampa,33611,,0100,1951,2003,1648,0.14,345951,216605,2017-10-17,198000,I,1,446611,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.50392727604412,27.874823925010357],[-82.50416258550398,27.875098563394104],[-82.50428783332539,27.87501770626151],[-82.50405411691476,27.874742373721414],[-82.50392727604412,27.874823925010357]]]}"
137810.0020,A-16-30-18-9Q1-000000-00005.0,7712 Landcare Ln,7712 LANDCARE LN,Tampa,33616,,0100,2012,2018,2436,0.17,514826,400744,2012-04-11,285000,I,2,447005,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.51537771038764,27.86493702175872],[-82.51538050280256,27.864543365330544],[-82.51521649385644,27.864539563398534],[-82.5152136799516,27.86493610133344],[-82.51537771038764,27.86493702175872]]]}"
138184.0100,A-17-30-18-42D-000018-00015.0,6604 S Juanita St B,6604 S JUANITA ST B,Tampa,33616,,0800,1983,2004,3456,0.29,704232,506670,2021-06-28,700000,I,4,447525,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.53007093234814,27.871018184704127],[-82.53007530548682,27.870669628278563],[-82.52976578994164,27.870669759913767],[-82.52976623953698,27.870807286544306],[-82.5297650628414,27.871016317016654],[-82.53007093234814,27.871018184704127]]]}"
138197.0050,A-17-30-18-42D-000020-00016.0,6602 Kissimmee St,6602 KISSIMMEE ST,Tampa,33616,,0100,1971,2009,1226,0.18,284880,184880,2019-02-28,228000,I,1,447558,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.52815151197393,27.87100456649089],[-82.5284570173289,27.87100631191245],[-82.52845825487186,27.870789422041923],[-82.52815241142027,27.87078798202636],[-82.52815151197393,27.87100456649089]]]}"
138321.0100,A-17-30-18-42E-000006-00015.1,6803 S Elemeta St,6803 S ELEMETA ST,Tampa,33616,,0100,2007,2016,2052,0.11,408167,307550,2017-08-09,335000,I,2,447724,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.51941674110886,27.868227830604965],[-82.51972624885387,27.86822873210091],[-82.5197268203497,27.868091205023354],[-82.51941731299982,27.868090304425788],[-82.51941674110886,27.868227830604965]]]}"
138344.0000,A-17-30-18-42F-000000-00011.0,8023 Interbay Blvd,8023 INTERBAY BLVD,Tampa,33616,,0100,2015,2020,2255,0.23,492309,321748,2025-10-03,555400,I,2,447744,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.52048833503586,27.866560746841035],[-82.52064008852068,27.86656110900739],[-82.52064199528648,27.86600823339106],[-82.52049052220877,27.86600795318359],[-82.52048833503586,27.866560746841035]]]}"
