city_project_id,budget_book_context_record_ids,budget_book_record_count,activity_id,master_project_id,comparison_status,match_method,budget_book_status,core_status,budget_book_project_name,core_project_name,observed_at_utc
TRANS20186,,0,tpa-10719fa88c8a1d,mp-b3c1ca3340def645,core_capital_only,no_exact_identifier_match,,90% Design Completion,,Franklin St and Fort Brooke Garage - Blank Out Signs,2026-08-28T04:55:51+00:00
TRANS20187,,0,tpa-2695ad6313af38,mp-5dbb51491acf6003,core_capital_only,no_exact_identifier_match,,60% Design Completion,,Cass St Drawbridge Improvements,2026-08-28T04:55:51+00:00
TRANS20188,,0,tpa-808aa21dd5c136,mp-d79cf880c7c462e6,core_capital_only,no_exact_identifier_match,,Permitting/Submittals Approval,,New Tampa Blvd Corridor Improvements From Meadow Pine Dr. to Bruce B. Downs Blvd. (Resurfacing),2026-08-28T04:55:51+00:00
TRANS20189,,0,tpa-06cb3a9a352b94,mp-297b2266fad2d6cd,core_capital_only,no_exact_identifier_match,,30% Design Completion,,Hanna Avenue Phase I (24th St to CSX RR),2026-08-28T04:55:51+00:00
TRANS20190,,0,tpa-9df29b136b10b2,mp-d0b7417db607c786,core_capital_only,no_exact_identifier_match,,Construction in Progress,,MLK Resurfacing from Air Cargo to Dale Mabry,2026-08-28T04:55:51+00:00
TRANS20191,,0,tpa-55970080e03fd1,mp-0441f5e904278d00,core_capital_only,no_exact_identifier_match,,60% Design Completion,,"Drew Park CRA - Mobility, Connectivity, and Safety Improvements",2026-08-28T04:55:51+00:00
TRANS20192,,0,tpa-0cb5c8fa34eba7,mp-184ff40a4985d20a,core_capital_only,no_exact_identifier_match,,60% Design Completion,,S Macdill Ave Resurfacing from W Gandy Blvd to W Bay to Bay Blvd,2026-08-28T04:55:51+00:00
TRANS20196,,0,tpa-64dee70099c8c5,mp-4b74c0944386d0d7,core_capital_only,no_exact_identifier_match,,30% Design Completion,,N Boulevard from W Green St to W Dr MLK Blvd,2026-08-28T04:55:51+00:00
TRANS20197,,0,tpa-28a7af3a4fd198,mp-8d910a9c8d816635,core_capital_only,no_exact_identifier_match,,Planning,,Pathways to Palmetto (Design-Build),2026-08-28T04:55:51+00:00
TRANS20198,,0,tpa-7cd06363a5db6f,mp-4914733672868198,core_capital_only,no_exact_identifier_match,,Planning,,N Jefferson St - Channelside Dr to E Cass St,2026-08-28T04:55:51+00:00
TRANS20201,,0,tpa-f8b080678d224d,mp-1ec2d1f574a3b46f,core_capital_only,no_exact_identifier_match,,30% Design Completion,,W Cypress Street Resurfacing (Zone 1) From N Obrien St to N Himes Ave,2026-08-28T04:55:51+00:00
TRANS20202,,0,tpa-96076613355650,mp-d7643a26e985263e,core_capital_only,no_exact_identifier_match,,30% Design Completion,,W Cypress Street Resurfacing (Zone 2) from N Himes Ave to North Boulevard,2026-08-28T04:55:51+00:00
