context_record_id,city_project_id,activity_id,master_project_id,project_name,description,rationale,project_type,fiscal_year,budget_year,funding_source,funded_status,planned_start_date,planned_end_date,actual_start_date,actual_end_date,project_phase,status,estimated_cost_usd,reported_actual_cost_usd,contract_number,department_project_number,activity_status,neighborhood,council_district,cra,project_document_url,project_site_url,source_record_last_edited_at_utc,source_url,observed_at_utc,geometry_geojson
bbp-eb99dd6f6b61a8d6,1001929,,,Interbay Blvd (Manhattan Ave to Tanker Way),This project provides for operational improvements by widening for a right turn lane.,Congestion Mitigation,Transportation,2024,2022,Transportation Impact Fees,No,,,,,P5: Closeout,Cancelled,135000,,,TRANS20046,,Gandy / Sun Bay South,4,,https://www.tampa.gov/project/trans20046,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001929.pdf,2022-08-26T15:21:00+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.5177300192908,27.865947869896065]}"
bbp-70bb2f5b0a3565e4,1001226,,,34th Street North From Columbus Drive to US92/East Hillsborough Avenue,This project provides for safety and complete streets improvements and on-street bicycle facilities throughout the corridor.,Complete Streets & Safety Improvements,Transportation,2020,2022,Grants,Yes,2020-01-13,2021-05-02,2020-02-02,2020-12-07,P5: Closeout,Closeout,5159715,3697131.03,19-C-00032,TRANS20005,C3.1-Financial Closeout,Jackson Heights,5,East Tampa,https://www.tampagov.net/tss-transportation/info/projects/34thStreet,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001226.pdf,2022-06-24T17:53:08+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.42237682175812,27.981414775016287]}"
bbp-6345131b204ceb09,1001845,,,North Himes Avenue Complete Streets and Safety Improvements,This project provides for complete streets and safety improvements for North Himes Avenue from West Columbus Drive to West Hillsborough Avenue.,Complete Streets & Safety Improvements,Transportation,2021,2022,Transportation Impact Fees,Yes,2020-11-01,2021-11-28,2020-11-03,2021-11-29,P5: Closeout,Closeout,1600000,,19-C-00010.001 WOA#5,TRANS20057,C3.1-Financial Closeout,Stadium Area,6,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001845.pdf,2022-02-26T21:04:29+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.50127718175405,27.981330691665455]}"
bbp-bb76fb6a0b337d3a,0000006,,,Spruce St Corridor (Hesperides St to Himes Ave),"This project provides for capacity, operational, multimodal and safety improvements.",Complete Streets & Safety Improvements,Transportation,2024,2022,Transportation Impact Fees,Yes,,,,,P5: Closeout,Cancelled,1750000,,,TRANS20068,,Carver City Lincoln Gardens,6,,https://www.tampagov.net/tss-transportation/info/projects/spruce,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f0000006.pdf,2022-07-06T12:04:51+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.50982138862724,27.959442238656987]}"
bbp-649f13dadae11683,1000980,,,Manhattan Ave (Richardson Ave to Interbay Blvd),This project provides for the design of roadway construction plans for an existing unimproved right of way to provide an alternative north-south traffic circulation route for the Port Tampa Area.,Congestion Mitigation,Transportation,2027,2022,Transportation Impact Fees,Yes,,,,,P5: Closeout,Cancelled,1000000,,,TRANS20054,,"Port Tampa City, Inc. Civic Association",4,,https://www.tampa.gov/project/trans20054,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000980.pdf,2022-08-26T15:22:58+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.5185967824993,27.864597120386744]}"
bbp-107732c6d6e12ed3,1000446,tpa-2ed8da642d70ff,mp-4ca9962761cd97bd,Cass St Bridge (#105502) Electrical/Mechanical Rehabilitation,This project will provide for a rehabilitation of the Cass St Bridge electrical and mechanical systems as well as the construction of the Green Spine Cycle Track across the bridge.,Bridges & Seawalls,Transportation,TBD,2022,Local Option Gas Tax,No,,,,,P2: Design,90% Design Completion,6930000,,,TRANS20014,,Downtown River Arts,5,Downtown Non Core,https://www.tampa.gov/project/trans20014,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000446.pdf,2022-02-28T22:22:52+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.46486859479133,27.950205753210724]}"
bbp-2bb21d73e253a87c,1000248,tpa-71346c0bba0c2c,mp-2823ebae0582ecf1,Brorein St Bridge (#105501) Phase 1 Structural Rehabilitation,This project provides for structural rehabilitation as well as rehabilitation of the mechanical and electrical systems. This project will also create safe multimodal access across the river by widening the sidewalks on both sides of the bridge to about 9 feet wide.,Bridges & Seawalls,Transportation,TBD,2022,Local Option Gas Tax,No,,,,,P2: Design,90% Design Completion,9220000,,,TRANS20134,,Tampa Downtown Partnership,4,Downtown Core,https://www.tampa.gov/project/trans20134,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000248.pdf,2022-02-28T22:19:13+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.4586550027514,27.943465105442606]}"
bbp-6124e90865429309,1002091,tpa-2dc74558e17f91,mp-36bcf34199e877eb,"Green Spine Cycle Track, Segment 3B",This project provides for a bi-directional cycle track along Nuccio Pkwy from 7th Ave. to 13th Ave.,Bike & Pedestrian Improvements,Transportation,2024,2022,Multiple Funding,Yes,2024-05-30,2025-10-31,,,P5: Closeout,Closeout,1645831,,21-C-00022,TRANS20038,,Historic Ybor,5,Ybor City 1,https://www.tampa.gov/project/trans20038,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002091.pdf,2022-07-06T12:08:02+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.44548266881232,27.962755303783265]}"
bbp-c2296c605b0eb8f7,1001221,,,Columbus Dr (Nebraska Avenue to 14th St),"This project provides for roadway improvements to accommodate bicycle and pedestrian facilities, including enhanced crosswalks, sidewalks, and other safety measures. The project also includes green infrastructure including landscaping and tree wells to provide sustainable stormwater drainage.",Complete Streets & Safety Improvements,Transportation,2022,2022,Grants,Yes,2021-02-14,2022-08-31,2021-01-25,,P5: Closeout,Closeout,4200000,731032.35,19-C-00018,TRANS20020,C2.1-Construction,VM Ybor,5,East Tampa,https://www.tampagov.net/tss-transportation/info/projects/columbus,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001221.pdf,2022-02-26T21:04:29+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.44772016702986,27.966861538915914]}"
bbp-c5faf6c43642ecf4,1001220,,,46th Street From Busch Boulevard to Fowler Avenue,"This project provides for complete street roadway improvements to enhance safety and multimodal connectivity, including roundabouts, sidewalks, bicycle facilities, enhanced crosswalks and other safety measures.",Complete Streets & Safety Improvements,Transportation,2022,2022,Grants,Yes,2021-02-14,2022-11-08,2020-11-02,,P5: Closeout,Closeout,3062445.99,281553.75,19-C-00046,TRANS20007,CW3.3-WOA Closed & Complete,Terrace Park,7,,https://www.tampagov.net/tss-transportation/info/projects/46thStWalkBike,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001220.pdf,2022-09-26T11:31:45+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.4099027445774,28.043464835459012]}"
