old_activity_id,new_activity_id,cluster_basis,cluster_key
tpa-234c4d7d438888,tpa-d60b774d24d302,connected_exact_normalized_project_names_across_capital_layers,DOWNTOWN CORE COMPLETE STREETS FLORIDA AVE FROM CHANNELSIDE DR TO JACKSON ST
tpa-0343f37c018aa5,tpa-d86cfc8d539121,connected_exact_normalized_project_names_across_capital_layers,CHURCH PUMPING STATION REHABILITATION YEAR 3
tpa-7937a5492be060,tpa-d86cfc8d539121,connected_exact_normalized_project_names_across_capital_layers,CHURCH PUMPING STATION REHABILITATION YEAR 3
tpa-33622a7d959a11,tpa-d8a0505020d69d,connected_exact_normalized_project_names_across_capital_layers,MANHATTAN AVE BAY TO BAY BLVD TRAFFIC SIGNAL UPGRADE
tpa-5a4ae7d7b75352,tpa-d8a0505020d69d,connected_exact_normalized_project_names_across_capital_layers,MANHATTAN AVE BAY TO BAY BLVD TRAFFIC SIGNAL UPGRADE
tpa-5e444efab03b60,tpa-de3734e9f296af,connected_exact_normalized_project_names_across_capital_layers,INTERBAY PS FM REPLACEMENT
tpa-caecd4736d088d,tpa-de3734e9f296af,connected_exact_normalized_project_names_across_capital_layers,INTERBAY PS FM REPLACEMENT
tpa-8daae40831a1eb,tpa-df2cde3408e1cf,connected_exact_normalized_project_names_across_capital_layers,MACDILL AVE GANDY BLVD TRAFFIC SIGNAL UPGRADE
tpa-f813095c79d1b6,tpa-df2cde3408e1cf,connected_exact_normalized_project_names_across_capital_layers,MACDILL AVE GANDY BLVD TRAFFIC SIGNAL UPGRADE
tpa-198b6fd41567fb,tpa-e3870c38d407de,connected_exact_normalized_project_names_across_capital_layers,BAYSHORE BLVD SWANN AVE NEW TRAFFIC SIGNAL
tpa-5c4593ea1e3bf7,tpa-e3870c38d407de,connected_exact_normalized_project_names_across_capital_layers,BAYSHORE BLVD SWANN AVE NEW TRAFFIC SIGNAL
tpa-27b2a0cf557d1d,tpa-e3d74ebeda0a07,connected_exact_normalized_project_names_across_capital_layers,CLEVELAND ST AND ROME AVE TRAFFIC SIGNAL
