finance_event_id,activity_id,master_project_id,city_project_id,contract_number,event_type,event_date,fiscal_year,amount_usd,amount_direction,funding_source,resolution_number,source_document,source_url,observed_at_utc,source_record_last_edited_at_utc,evidence_strength,is_inferred,interpretation_warning
fin-d8a52920ba395d6e,,,1000960,20-C-00024,capital_estimate_reported,,2021,5787978.37,reported_level,PIPES,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000960.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-08-10T14:58:45+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
fin-c090ea6a51d7243b,,,1000960,20-C-00024,funded_status_reported,,2021,,not_applicable,PIPES,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000960.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-08-10T14:58:45+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-74889a69601a2843,tpa-d04d7a186f9070,mp-56265785c1518a24,1002178,,capital_estimate_reported,,2027,8000000,reported_level,Stormwater Improvement Fee,,https://www.tampa.gov/project/sw40006,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-10-06T18:32:43+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
fin-1c127dc6791bf330,tpa-d04d7a186f9070,mp-56265785c1518a24,1002178,,funded_status_reported,,2027,,not_applicable,Stormwater Improvement Fee,,https://www.tampa.gov/project/sw40006,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-10-06T18:32:43+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-5a4e8e80d81795cc,tpa-8b45dcb5c28c83,mp-bf56856019c64435,1002179,,capital_estimate_reported,,2027,92700000,reported_level,Multiple Funding,,https://shstormwater.com/project-information/,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-09-01T14:20:27+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
fin-bf437fd995814bed,tpa-8b45dcb5c28c83,mp-bf56856019c64435,1002179,,funded_status_reported,,2027,,not_applicable,Multiple Funding,,https://shstormwater.com/project-information/,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-09-01T14:20:27+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-e1fb26ba9014e92a,,,1002128,,funded_status_reported,,,,not_applicable,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002128.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-02-26T21:04:29+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-c89a119c7505b1c8,,,1001137,19-C-00052,capital_estimate_reported,,2021,38134770.53,reported_level,Tourist Development Taxes,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001137.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-05-31T13:53:03+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
fin-df4e8d1e299c83fd,,,1001137,19-C-00052,funded_status_reported,,2021,,not_applicable,Tourist Development Taxes,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001137.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-05-31T13:53:03+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-37b2dbb1708df4d0,,,1001874,21-C-00036,funded_status_reported,,2021,,not_applicable,Parking System Revenues,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001874.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-06-27T12:13:32+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
