source_id,changed_field,semantic_change_category,unique_retained_identities_affected,change_row_count,retained_record_denominator,affected_retained_rate,common_old_to_new_patterns,mass_refresh_warning
capital_improvements,status,status_changed,25,25,189,0.132275,"[{""new_value"":""Closeout"",""old_value"":""Construction in Progress"",""record_count"":9},{""new_value"":""90% Design Completion"",""old_value"":""30% Design Completion"",""record_count"":2},{""new_value"":""Construction in Progress"",""old_value"":""Permitting/Submittals Approval"",""record_count"":2},{""new_value"":""60% Design Completion"",""old_value"":""30% Design Completion"",""record_count"":1},{""new_value"":""Construction in Progress"",""old_value"":""60% Design Completion"",""record_count"":1},{""new_value"":""Closeout"",""old_value"":""90% Design Completion"",""record_count"":1},{""new_value"":""Construction in Progress"",""old_value"":""90% Design Completion"",""record_count"":1},{""new_value"":""Permitting/Submittals Approval"",""old_value"":""90% Design Completion"",""record_count"":1},{""new_value"":""Project Startup"",""old_value"":""90% Design Completion"",""record_count"":1},{""new_value"":""30% Design Completion"",""old_value"":""Construction in Progress"",""record_count"":1}]",False
capital_locations_line,ContractNumber,other_field_changed,1,1,101,0.009901,"[{""new_value"":""23-C-00013"",""old_value"":""23-C-00018"",""record_count"":1}]",False
capital_locations_line,EBO,other_field_changed,1,1,101,0.009901,"[{""new_value"":""17.0"",""old_value"":""17"",""record_count"":1}]",False
capital_locations_line,EBOAttained,other_field_changed,1,1,101,0.009901,"[{""new_value"":""19.0"",""old_value"":""19"",""record_count"":1}]",False
capital_locations_line,MapScale,other_field_changed,101,101,101,1.0,"[{""new_value"":""6000.0"",""old_value"":""6000"",""record_count"":100},{""new_value"":""6002.0"",""old_value"":""6002"",""record_count"":1}]",True
capital_locations_line,MultiYear,other_field_changed,1,1,101,0.009901,"[{""new_value"":""(blank)"",""old_value"":""No"",""record_count"":1}]",False
capital_locations_line,actual_cost,reported_actual_cost_changed,5,5,101,0.049505,"[{""new_value"":""0.0"",""old_value"":""0"",""record_count"":3},{""new_value"":""1645831.0"",""old_value"":""1645831"",""record_count"":1},{""new_value"":""2544487.0"",""old_value"":""2544487"",""record_count"":1}]",False
capital_locations_line,capital_phase,capital_project_phase_changed,5,5,101,0.049505,"[{""new_value"":""P5: Closeout"",""old_value"":""P2: Design"",""record_count"":2},{""new_value"":""P2: Design"",""old_value"":""P1: Planning"",""record_count"":1},{""new_value"":""P4: Construction"",""old_value"":""P2: Design"",""record_count"":1},{""new_value"":""P2: Design"",""old_value"":""P4: Construction"",""record_count"":1}]",False
capital_locations_line,estimated_cost,estimated_cost_changed,78,78,101,0.772277,"[{""new_value"":""1000000.0"",""old_value"":""1000000"",""record_count"":3},{""new_value"":""500000.0"",""old_value"":""500000"",""record_count"":2},{""new_value"":""101000.0"",""old_value"":""101000"",""record_count"":1},{""new_value"":""1029250.0"",""old_value"":""1029250"",""record_count"":1},{""new_value"":""1030028.0"",""old_value"":""1030028"",""record_count"":1},{""new_value"":""116600.0"",""old_value"":""116600"",""record_count"":1},{""new_value"":""1188166.0"",""old_value"":""1188166"",""record_count"":1},{""new_value"":""120000.0"",""old_value"":""120000"",""record_count"":1},{""new_value"":""1302470.0"",""old_value"":""1302470"",""record_count"":1},{""new_value"":""1346000.0"",""old_value"":""1346000"",""record_count"":1}]",True
capital_locations_line,fiscalyr,other_field_changed,3,3,101,0.029703,"[{""new_value"":""2027"",""old_value"":""2026"",""record_count"":2},{""new_value"":""2026"",""old_value"":""2028"",""record_count"":1}]",False
capital_locations_line,funded,other_field_changed,1,1,101,0.009901,"[{""new_value"":""Yes"",""old_value"":""No"",""record_count"":1}]",False
capital_locations_line,planned_end,planned_date_changed,7,7,101,0.069307,"[{""new_value"":""1788480000000"",""old_value"":""(blank)"",""record_count"":1},{""new_value"":""1787702400000"",""old_value"":""1780185600000"",""record_count"":1},{""new_value"":""1796083200000"",""old_value"":""1782864000000"",""record_count"":1},{""new_value"":""1796083200000"",""old_value"":""1793491200000"",""record_count"":1},{""new_value"":""1827619200000"",""old_value"":""1793491200000"",""record_count"":1},{""new_value"":""1843430400000"",""old_value"":""1806364800000"",""record_count"":1},{""new_value"":""1780272000000"",""old_value"":""1859241600000"",""record_count"":1}]",False
capital_locations_line,planned_start,planned_date_changed,5,5,101,0.049505,"[{""new_value"":""1786492800000"",""old_value"":""(blank)"",""record_count"":1},{""new_value"":""1811808000000"",""old_value"":""1767052800000"",""record_count"":1},{""new_value"":""1785542400000"",""old_value"":""1782864000000"",""record_count"":1},{""new_value"":""1798761600000"",""old_value"":""1782864000000"",""record_count"":1},{""new_value"":""1775001600000"",""old_value"":""1830297600000"",""record_count"":1}]",False
capital_locations_line,safety,other_field_changed,1,1,101,0.009901,"[{""new_value"":""Yes"",""old_value"":""No"",""record_count"":1}]",False
capital_locations_line,status,status_changed,5,5,101,0.049505,"[{""new_value"":""Closeout"",""old_value"":""90% Design Completion"",""record_count"":2},{""new_value"":""Construction in Progress"",""old_value"":""60% Design Completion"",""record_count"":1},{""new_value"":""30% Design Completion"",""old_value"":""Construction in Progress"",""record_count"":1},{""new_value"":""30% Design Completion"",""old_value"":""Planning"",""record_count"":1}]",False
capital_locations_point,EBO,other_field_changed,1,1,57,0.017544,"[{""new_value"":""24.0"",""old_value"":""24"",""record_count"":1}]",False
capital_locations_point,EBOAttained,other_field_changed,1,1,57,0.017544,"[{""new_value"":""100.0"",""old_value"":""100"",""record_count"":1}]",False
capital_locations_point,MapScale,other_field_changed,57,57,57,1.0,"[{""new_value"":""6000.0"",""old_value"":""6000"",""record_count"":57}]",True
